xdid	similar_grid_pct	reused_clues	reused_answers	total_clues	matches
atc1997-11-26	0	29	76	78	
atc1998-05-05	0	40	74	78	
atc1998-05-09	0	27	72	74	
atc1998-05-18	0	44	77	78	
atc1998-08-05	0	33	74	78	
atc1998-10-23	0	16	72	76	
atc1998-11-19	0	34	75	78	
atc1999-07-05	0	38	76	78	
atc1999-07-12	0	45	76	78	
atc1999-07-13	0	38	71	76	
atc2000-08-18	0	57	78	78	
atc2001-03-01	0	31	72	74	
atc2001-03-02	0	41	75	78	
atc2001-03-03	0	45	75	78	
atc2001-03-04	0	46	78	78	
atc2001-03-05	0	48	75	78	
atc2001-03-06	0	41	72	76	
atc2001-03-07	0	43	75	76	
atc2001-03-08	0	43	78	78	
atc2001-03-09	0	52	75	78	
atc2001-03-10	0	38	75	78	
atc2001-03-11	0	39	76	78	
atc2001-03-12	0	40	71	74	
atc2001-03-13	0	45	75	78	
atc2001-03-14	0	24	75	78	
atc2001-03-15	0	30	74	76	
atc2001-03-16	0	45	78	78	
atc2001-03-17	0	58	75	78	
atc2001-03-18	0	38	75	78	
atc2001-03-19	0	42	78	78	
atc2001-03-20	0	46	78	78	
atc2001-03-21	0	43	76	76	
atc2001-03-22	0	44	76	78	
atc2001-03-23	0	37	65	74	
atc2001-03-24	0	42	76	76	
atc2001-03-25	0	51	75	76	
atc2001-03-26	0	38	77	78	
atc2001-03-27	0	47	76	78	
atc2001-03-28	0	41	78	78	
atc2001-03-29	0	31	70	72	
atc2001-03-30	0	54	78	80	
atc2001-03-31	0	41	71	74	
atc2001-04-01	0	0	75	78	
atc2001-04-02	0	35	75	78	
atc2001-04-03	0	34	78	78	
atc2001-04-04	0	62	78	78	
atc2001-04-05	0	49	75	78	
atc2001-04-06	0	41	76	78	
atc2001-04-07	0	32	73	76	
atc2001-04-08	0	44	73	76	
atc2001-04-09	0	24	74	78	
atc2001-04-10	0	53	77	78	
atc2001-04-11	0	46	75	76	
atc2001-04-12	0	35	74	78	
atc2001-04-13	0	38	71	76	
atc2001-04-14	0	35	72	74	
atc2001-04-15	0	45	78	78	
atc2001-04-16	0	42	78	78	
atc2001-04-17	0	42	73	78	
atc2001-04-18	0	55	75	78	
atc2001-04-19	0	39	76	76	
atc2001-04-20	0	41	77	78	
atc2001-04-21	0	46	77	78	
atc2001-04-22	0	39	74	78	
atc2001-04-23	0	59	75	78	
atc2001-04-24	0	38	75	76	
atc2001-04-25	100	78	78	78	atc1998-05-18=100
atc2001-04-26	0	30	76	78	
atc2001-04-27	0	31	74	76	
atc2001-04-28	0	48	73	76	
atc2001-04-29	0	37	77	78	
atc2001-04-30	0	36	71	78	
atc2001-05-01	0	44	74	78	
atc2001-05-02	0	50	71	76	
atc2001-05-03	0	36	74	76	
atc2001-05-04	0	15	76	78	
atc2001-05-05	0	40	76	78	
atc2001-05-06	0	33	78	78	
atc2001-05-07	32	60	78	78	nyt1982-08-31=32
atc2001-05-08	28	55	76	76	nyt1977-12-15=28
atc2001-05-09	0	55	73	76	
atc2001-05-10	0	49	74	76	
atc2001-05-11	0	49	74	78	
atc2001-05-12	0	50	78	78	
atc2001-05-13	98	63	78	78	nyt1985-08-28=37 nyt1992-05-26=32 nyt1994-07-07=29
atc2001-05-14	0	34	75	78	
atc2001-05-15	0	39	72	76	
atc2001-05-16	0	37	78	78	
atc2001-05-17	0	48	74	78	
atc2001-05-18	0	47	77	78	
atc2001-05-19	0	62	78	78	
atc2001-05-20	0	39	75	78	
atc2001-05-21	0	41	76	78	
atc2001-05-22	0	36	74	78	
atc2001-05-23	0	39	77	78	
atc2001-05-24	0	40	76	78	
atc2001-05-25	0	56	76	78	
atc2001-05-26	0	43	72	78	
atc2001-05-27	0	39	75	78	
atc2001-05-28	0	41	72	76	
atc2001-05-29	0	43	71	74	
atc2001-05-30	0	39	71	76	
atc2001-05-31	0	27	67	72	
atc2001-06-01	0	41	78	78	
atc2001-06-02	0	43	75	78	
atc2001-06-03	0	44	78	78	
atc2001-06-04	0	58	78	78	
atc2001-06-05	0	56	75	76	
atc2001-06-06	0	49	77	78	
atc2001-06-07	0	43	74	78	
atc2001-06-08	0	43	77	78	
atc2001-06-09	0	48	76	78	
atc2001-06-10	0	49	77	78	
atc2001-06-11	0	37	73	76	
atc2001-06-12	0	48	75	76	
atc2001-06-13	0	49	75	78	
atc2001-06-14	0	44	77	78	
atc2001-06-15	0	48	74	78	
atc2001-06-16	0	45	74	76	
atc2001-06-17	0	48	77	78	
atc2001-06-18	0	56	78	78	
atc2001-06-19	0	36	73	78	
atc2001-06-20	0	40	75	78	
atc2001-06-21	0	42	76	78	
atc2001-06-22	0	50	77	78	
atc2001-06-23	0	50	77	78	
atc2001-06-24	0	43	77	78	
atc2001-06-25	0	41	75	78	
atc2001-06-26	0	60	74	78	
atc2001-06-27	0	55	78	78	
atc2001-06-28	0	55	77	78	
atc2001-06-29	0	42	76	78	
atc2001-06-30	0	47	78	78	
atc2001-07-01	0	52	75	76	
atc2001-07-02	25	49	75	76	lat2001-01-29=25
atc2001-07-03	0	48	77	78	
atc2001-07-04	0	43	77	78	
atc2001-07-05	83	41	78	78	usa1999-02-25=83
atc2001-07-06	0	55	74	76	
atc2001-07-07	0	47	75	76	
atc2001-07-08	0	45	76	76	
atc2001-07-09	0	36	71	72	
atc2001-07-10	0	48	75	78	
atc2001-07-11	0	46	76	78	
atc2001-07-12	0	44	76	76	
atc2001-07-13	0	61	78	78	
atc2001-07-14	0	48	76	76	
atc2001-07-15	0	38	73	76	
atc2001-07-16	0	48	75	76	
atc2001-07-17	0	41	76	78	
atc2001-07-18	0	59	77	78	
atc2001-07-19	0	43	73	76	
atc2001-07-20	0	48	75	78	
atc2001-07-21	0	47	74	78	
atc2001-07-22	0	51	77	78	
atc2001-07-23	0	56	74	78	
atc2001-07-24	0	50	77	78	
atc2001-07-25	0	44	78	78	
atc2001-07-26	0	47	77	78	
atc2001-07-27	0	53	77	78	
atc2001-07-28	0	43	74	74	
atc2001-07-29	0	53	78	78	
atc2001-07-30	0	45	78	78	
atc2001-07-31	0	42	69	74	
atc2001-08-01	0	41	74	76	
atc2001-08-02	0	43	72	74	
atc2001-08-03	0	34	74	76	
atc2001-08-04	0	46	73	74	
atc2001-08-05	0	46	70	76	
atc2001-08-06	0	46	78	78	
atc2001-08-07	0	45	74	78	
atc2001-08-08	0	46	75	78	
atc2001-08-09	0	48	76	78	
atc2001-08-10	0	49	75	78	
atc2001-08-11	0	46	75	78	
atc2001-08-12	0	50	76	78	
atc2001-08-13	0	52	77	78	
atc2001-08-14	0	47	75	76	
atc2001-08-15	0	43	77	78	
atc2001-08-16	0	38	73	74	
atc2001-08-17	0	43	74	76	
atc2001-08-18	0	50	76	78	
atc2001-08-19	0	39	73	74	
atc2001-08-20	100	72	78	78	atc1998-05-05=100
atc2001-08-21	0	48	75	76	
atc2001-08-22	0	49	73	74	
atc2001-08-23	0	51	76	78	
atc2001-08-24	0	39	69	72	
atc2001-08-25	0	48	78	78	
atc2001-08-26	0	43	69	74	
atc2001-08-27	0	52	76	78	
atc2001-08-28	0	42	71	74	
atc2001-08-29	0	40	76	78	
atc2001-08-30	0	53	76	78	
atc2001-08-31	0	44	73	76	
atc2001-09-01	0	53	78	78	
atc2001-09-02	0	45	74	74	
atc2001-09-03	0	55	75	78	
atc2001-09-04	0	53	78	78	
atc2001-09-05	25	33	72	72	lat1997-01-23=25
atc2001-09-06	0	53	77	78	
atc2001-09-07	0	48	72	76	
atc2001-09-08	0	40	75	78	
atc2001-09-09	0	36	74	76	
atc2001-09-10	0	48	74	76	
atc2001-09-11	0	45	71	74	
atc2001-09-12	0	53	77	78	
atc2001-09-13	0	44	73	78	
atc2001-09-14	0	47	77	78	
atc2001-09-15	0	39	73	76	
atc2001-09-16	0	50	76	78	
atc2001-09-17	0	51	77	78	
atc2001-09-18	0	50	77	78	
atc2001-09-19	0	44	78	78	
atc2001-09-20	0	43	74	78	
atc2001-09-21	0	45	78	78	
atc2001-09-22	0	41	74	78	
atc2001-09-23	0	53	76	78	
atc2001-09-24	0	56	78	78	
atc2001-09-25	0	45	75	78	
